CLUSTERID1	CLUSTERID2	DeltaMZ	Cosine	ComponentIndex
276	2206	-15.994	0.7918	920
189	930	0.001	0.7586	926
958	1188	-0.001	0.7889	927
226	767	-28.032	0.8531	938
226	2209	-14.013	0.7697	938
226	2870	0.002	0.7519	938
767	2209	14.019	0.7513	938
834	1865	-18.008	0.7771	945
809	834	-2.013	0.7923	945
291	307	-151.015	0.8529	946
291	879	-137.014	0.7025	946
291	1129	15.996	0.7723	946
291	1360	-59.064	0.7143	946
291	1659	15.996	0.7681	946
291	2621	-15.994	0.7	946
1129	1659	-0.000	0.7448	946
879	2230	18.011	0.7108	946
307	879	14.002	0.7142	946
307	1129	167.011	0.7497	946
307	1659	167.011	0.7195	946
1492	4239	-222.093	0.8052	950
1492	5420	-44.089	0.8	950
1448	1492	70.081	0.8774	950
1448	4239	-152.012	0.8068	950
1531	2024	0.001	0.7514	954
2730	2954	0.001	0.897	960
1170	1779	2.280	0.8166	962
1170	5632	-21.980	0.8357	962
342	433	-133.005	0.7429	964
342	443	18.011	0.7817	964
342	481	-0.000	0.7898	964
443	481	-18.011	0.7624	964
443	1196	-32.026	0.7227	964
433	443	151.015	0.7651	964
433	481	133.004	0.7605	964
350	1265	0.001	0.7652	965
350	1279	-96.093	0.8287	965
350	2528	-96.093	0.7915	965
1279	2528	0.000	0.7926	965
1265	1279	-96.094	0.8129	965
1265	2528	-96.094	0.7483	965
1301	10977	-44.015	0.7697	984
455	1405	-68.063	0.7354	990
455	1679	0.001	0.7204	990
495	515	-44.027	0.7701	993
495	628	44.027	0.9091	993
495	992	-88.054	0.8751	993
495	1051	88.052	0.8458	993
495	1087	149.106	0.7523	993
495	1438	105.081	0.7325	993
495	1627	132.079	0.799	993
495	1706	-132.078	0.8111	993
495	1910	74.074	0.736	993
495	3605	-50.123	0.7474	993
3605	3986	-44.027	0.7229	993
3605	7574	-14.016	0.7259	993
3397	3605	-44.025	0.7896	993
3397	3986	-88.052	0.7091	993
2886	3605	-0.095	0.7865	993
2886	7574	-14.111	0.7019	993
1253	1910	132.078	0.7123	993
999	1253	-88.049	0.7584	993
999	1910	44.028	0.7604	993
999	3625	17.026	0.7187	993
904	992	-74.076	0.7295	993
904	999	44.023	0.7984	993
904	1253	-44.026	0.8118	993
904	1653	-13.976	0.7092	993
904	1782	-58.006	0.7469	993
904	1910	88.052	0.7659	993
904	2149	-88.052	0.7395	993
1782	2370	-44.024	0.7331	993
1653	1782	-44.031	0.758	993
1653	2370	-88.055	0.7251	993
1706	2877	-44.030	0.7738	993
1706	4196	-88.052	0.7242	993
1627	1857	-71.024	0.7517	993
1627	3605	-182.201	0.7004	993
1857	2558	-44.028	0.7432	993
831	1051	-105.080	0.7551	993
831	1087	-44.025	0.8288	993
831	1438	-88.051	0.7704	993
831	1627	-61.053	0.711	993
831	1857	-132.077	0.736	993
1438	1627	26.998	0.7379	993
1438	1857	-44.026	0.7575	993
1438	2558	-88.053	0.7132	993
1087	1438	-44.026	0.8048	993
1087	1627	-17.027	0.7834	993
1087	1857	-88.051	0.7941	993
1087	2558	-132.079	0.7545	993
1087	7147	-97.161	0.7134	993
1051	1087	61.055	0.821	993
1051	1438	17.029	0.7589	993
1051	1627	44.027	0.8083	993
1051	1857	-26.997	0.7405	993
1051	3605	-138.174	0.7176	993
992	1051	176.106	0.7662	993
992	1627	220.133	0.7202	993
992	1706	-44.024	0.7255	993
992	2877	-88.054	0.7631	993
992	4196	-132.076	0.7156	993
628	992	-132.081	0.829	993
628	1051	44.025	0.8626	993
628	1087	105.079	0.7927	993
628	1438	61.053	0.7688	993
628	1627	88.052	0.8179	993
628	1706	-176.105	0.755	993
628	1857	17.028	0.7608	993
628	3605	-94.150	0.7566	993
515	628	88.054	0.8791	993
515	904	30.049	0.7383	993
515	992	-44.027	0.8806	993
515	999	74.072	0.7266	993
515	1051	132.078	0.8025	993
515	1253	-13.977	0.7162	993
515	1627	176.106	0.7533	993
515	1706	-88.051	0.8371	993
515	2877	-132.081	0.7772	993
1223	1439	-12.037	0.8361	997
1223	2480	-42.083	0.7637	997
1223	3090	13.979	0.7627	997
1223	4079	2.013	0.8067	997
2676	3090	39.996	0.7219	997
2676	4079	28.030	0.763	997
3090	4079	-11.966	0.7225	997
2480	3090	56.062	0.731	997
2480	4079	44.097	0.7274	997
1439	2480	-30.046	0.7679	997
1439	2676	-13.980	0.749	997
1439	3090	26.016	0.7972	997
1439	4079	14.050	0.7714	997
538	981	-0.001	0.8566	1007
2435	3361	-26.016	0.7828	1010
572	900	28.031	0.7699	1011
2415	2600	0.003	0.7305	1013
2415	3483	-14.011	0.7103	1013
2358	2600	28.035	0.7006	1013
1971	2415	26.011	0.7022	1013
1971	2600	26.014	0.7154	1013
1765	2358	-0.002	0.7586	1013
1765	2415	28.030	0.7108	1013
1765	2600	28.033	0.726	1013
1765	2938	0.000	0.7417	1013
1513	1765	-0.002	0.7853	1013
1513	1971	2.017	0.7096	1013
1513	2358	-0.003	0.7581	1013
1513	2415	28.028	0.704	1013
1513	2600	28.031	0.732	1013
1513	2938	-0.001	0.7166	1013
1387	1513	0.001	0.7299	1013
1387	1765	-0.001	0.7226	1013
1387	1971	2.018	0.7206	1013
1387	2411	-2.014	0.7235	1013
1387	2415	28.029	0.7317	1013
1387	2600	28.032	0.7473	1013
1029	1387	-28.028	0.7076	1013
1029	1513	-28.027	0.7135	1013
1029	1971	-26.010	0.7322	1013
1029	2415	0.002	0.7576	1013
1029	2600	0.004	0.7354	1013
2411	3483	16.033	0.7048	1013
642	1029	28.030	0.7259	1013
642	1387	0.002	0.7593	1013
642	1513	0.003	0.817	1013
642	1765	0.001	0.8149	1013
642	1971	2.020	0.7407	1013
642	2358	-0.001	0.8022	1013
642	2415	28.031	0.7567	1013
642	2600	28.034	0.7681	1013
642	2938	0.002	0.7171	1013
642	3483	14.020	0.7253	1013
603	891	-15.995	0.7162	1016
603	1579	-18.009	0.7078	1016
603	1682	-13.979	0.7623	1016
603	1863	-15.994	0.7254	1016
603	1933	-13.978	0.7311	1016
603	2727	-16.992	0.7538	1016
1863	4550	15.996	0.7099	1016
1682	1863	-2.015	0.7438	1016
1579	1863	2.015	0.7112	1016
1579	2727	1.017	0.7429	1016
891	1682	2.016	0.7565	1016
891	1863	0.000	0.7475	1016
891	1933	2.017	0.7219	1016
605	761	-260.177	0.7078	1017
605	3884	-27.992	0.716	1017
631	2394	-14.017	0.8791	1019
631	3997	-14.018	0.8484	1019
2394	3997	-0.001	0.7863	1019
1626	2437	-264.057	0.8695	1025
653	726	-15.993	0.8063	1026
653	781	-28.030	0.7703	1026
653	895	-58.006	0.7434	1026
653	952	-15.997	0.7605	1026
653	1228	40.069	0.7739	1026
653	1416	-56.062	0.7633	1026
653	1634	-42.010	0.7553	1026
653	1849	322.324	0.7315	1026
653	3144	-42.043	0.7575	1026
653	4895	0.002	0.7329	1026
1634	2533	26.017	0.7081	1026
1634	2537	-30.046	0.717	1026
1545	1634	-10.022	0.7146	1026
1120	1416	-30.047	0.7066	1026
1228	1545	-72.058	0.7294	1026
1228	1634	-82.079	0.7563	1026
1228	1849	282.255	0.721	1026
1228	2533	-56.062	0.7103	1026
1228	3144	-82.112	0.716	1026
952	1228	56.066	0.7684	1026
952	1545	-15.991	0.7051	1026
952	1634	-26.013	0.7226	1026
952	1674	-42.006	0.7029	1026
952	2518	-56.059	0.7146	1026
952	2537	-56.059	0.7077	1026
895	952	42.009	0.7319	1026
895	1228	98.075	0.7409	1026
895	1545	26.018	0.7216	1026
895	1634	15.996	0.7478	1026
895	1962	15.996	0.7007	1026
895	2537	-14.050	0.7017	1026
781	1120	2.015	0.7008	1026
781	1228	68.099	0.7112	1026
726	895	-42.012	0.7727	1026
726	952	-0.003	0.7843	1026
726	1228	56.063	0.7877	1026
726	1416	-40.069	0.7543	1026
726	1545	-15.995	0.7505	1026
726	1634	-26.016	0.7733	1026
726	2518	-56.063	0.7275	1026
726	2537	-56.062	0.7568	1026
726	2606	-14.015	0.7346	1026
674	705	-14.011	0.8651	1029
674	1520	-30.008	0.7156	1029
674	1960	-15.993	0.8008	1029
674	3876	14.017	0.7425	1029
674	4960	14.021	0.7321	1029
1520	1960	14.015	0.8062	1029
705	1520	-15.996	0.8368	1029
705	3876	28.028	0.7635	1029
699	1071	-14.015	0.7729	1032
699	1212	0.001	0.7561	1032
699	2222	2.012	0.7275	1032
914	1071	-2.014	0.7988	1032
914	2222	14.012	0.7029	1032
1212	2222	2.011	0.7257	1032
1071	1212	14.015	0.7271	1032
716	2795	56.063	0.7002	1033
765	768	203.083	0.7666	1038
765	769	161.067	0.7486	1038
765	944	189.097	0.7346	1038
765	1615	-28.034	0.8237	1038
765	1688	175.048	0.7062	1038
765	2738	205.091	0.724	1038
765	3253	2.011	0.7569	1038
765	3281	-162.054	0.7474	1038
765	3396	177.063	0.7053	1038
765	4902	28.027	0.7662	1038
3253	4902	26.016	0.7311	1038
2738	3396	-28.027	0.7728	1038
1408	2217	-45.163	0.7355	1038
1408	2738	-246.227	0.7083	1038
1408	4461	-81.022	0.7349	1038
1063	1094	9.003	0.768	1038
1063	1408	-345.612	0.7292	1038
1063	1904	-5.009	0.7091	1038
1063	2402	-81.024	0.7363	1038
1063	2601	110.548	0.7215	1038
1063	3577	14.014	0.7273	1038
1063	5126	-95.038	0.7367	1038
1063	5164	-169.046	0.7362	1038
2402	2601	191.572	0.7116	1038
2402	5126	-14.014	0.737	1038
1688	2738	30.043	0.7586	1038
1688	3396	2.016	0.7669	1038
1615	1688	203.082	0.7017	1038
1615	2450	465.336	0.7433	1038
1615	3253	30.045	0.7396	1038
1615	3281	-134.020	0.7028	1038
1615	3950	2.017	0.7082	1038
1615	4902	56.061	0.766	1038
944	1408	262.221	0.7296	1038
944	1615	-217.131	0.7157	1038
944	1688	-14.049	0.7947	1038
944	2738	15.994	0.795	1038
944	3396	-12.034	0.8052	1038
944	4902	-161.070	0.7107	1038
769	944	28.030	0.8661	1038
769	1408	290.251	0.7089	1038
769	1615	-189.101	0.736	1038
769	1688	13.981	0.8141	1038
769	2738	44.024	0.8174	1038
769	3253	-159.056	0.7035	1038
769	3396	15.996	0.8113	1038
769	4902	-133.040	0.7027	1038
768	769	-42.016	0.8349	1038
768	944	-13.986	0.8342	1038
768	1408	248.235	0.775	1038
768	1615	-231.117	0.7168	1038
768	1688	-28.035	0.7889	1038
768	2217	203.072	0.7064	1038
768	2738	2.008	0.8194	1038
768	3396	-26.020	0.7865	1038
768	4902	-175.056	0.7049	1038
1313	1613	0.001	0.8027	1042
865	1062	-28.031	0.7103	1043
865	1192	-14.014	0.7209	1043
925	4377	0.001	0.7966	1047
990	2145	-0.000	0.84	1051
990	3533	14.017	0.8257	1051
2145	3533	14.017	0.7708	1051
998	1065	27.995	0.8814	1052
998	2346	0.001	0.8289	1052
998	3326	84.060	0.7714	1052
998	3624	56.063	0.7637	1052
998	3905	-17.025	0.7182	1052
998	4031	140.120	0.7484	1052
3326	3624	-27.996	0.7314	1052
1065	2346	-27.994	0.785	1052
1065	3326	56.065	0.719	1052
1031	1054	-15.035	0.8878	1053
1047	1897	0.000	0.7576	1058
1072	1741	14.015	0.7047	1060
1177	1959	0.001	0.8414	1067
1220	1319	18.012	0.7094	1068
1244	1300	-14.012	0.8384	1073
1244	3502	2.019	0.7138	1073
1300	2097	28.032	0.7302	1073
1245	3822	-28.032	0.7016	1074
1254	1600	0.000	0.7095	1075
1256	1543	-0.001	0.8152	1076
1256	2451	62.983	0.8015	1076
1256	5041	46.988	0.7501	1076
1256	6415	2.016	0.7902	1076
2451	5041	-15.995	0.7869	1076
1543	2451	62.984	0.7788	1076
1543	5041	46.989	0.7306	1076
1543	6415	2.017	0.7413	1076
1380	1434	28.033	0.8846	1080
1414	1533	56.061	0.782	1081
1423	3021	-28.033	0.7809	1083
1423	3363	15.996	0.7532	1083
3363	4369	-2.016	0.7008	1083
1465	1577	-93.543	0.7486	1085
1465	1907	-0.500	0.7458	1085
1577	2353	-14.015	0.7587	1085
1577	2817	-81.025	0.7205	1085
1473	2198	0.000	0.7586	1086
1532	3873	28.031	0.7007	1088
1617	5167	2.017	0.783	1090
1685	2204	-0.024	0.7241	1092
1695	2173	-28.032	0.7514	1093
1695	2680	14.015	0.7466	1093
2173	2680	42.047	0.7341	1093
1795	1973	0.113	0.7277	1094
2047	2166	-14.013	0.8411	1100
2082	5058	2.010	0.7441	1101
2085	2525	15.993	0.7855	1102
2101	4385	-6.047	0.7083	1103
2301	6456	1.068	0.728	1104
2304	2308	-274.167	0.7324	1105
2329	3372	28.042	0.828	1106
2329	3761	-28.019	0.7428	1106
3372	3761	-56.060	0.7034	1106
3126	4833	70.081	0.8245	1108
2997	4181	-44.026	0.7128	1119
3073	5292	-56.063	0.7029	1122
3582	4562	-28.030	0.7036	1125
3882	6623	-0.014	0.7053	1126
6541	6564	-116.082	0.7872	1129
6541	7228	58.040	0.7527	1129
6541	7488	116.085	0.7087	1129
6541	7656	174.126	0.7049	1129
7228	7488	58.045	0.7116	1129
7228	7656	116.086	0.7184	1129
6564	7228	174.122	0.8061	1129
6564	7488	232.167	0.7601	1129
