feature_id	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class	source_run
7757	C27H47N5O6	[M + H]+	(1R,2S,5S)-N-[(2S)-4-amino-1-cyclobutyl-3,3-dihydroxy-4-oxobutan-2-yl]-3-[(2S)-2-(tert-butylcarbamoylamino)-3,3-dimethylbutanoyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide	CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(C(=O)N)(O)O)C	0.09	Amino acids and Peptides	Cyclic peptides	Carboxylic acids and derivatives	interesting_2026-08-20
11360	C62H101N11O15	[M + H]+							interesting_2026-08-20
