query_idx	query_scan	query_file	query_precursor_mz	library_idx	library_scan	library_filename	library_precursor_mz	cosine	matched_peaks	delta_mz	ADDUCT	ANALYZER	CHARGE	CHROMATOGRAPHY	COLLISION_ENERGY	DATACOLLECTOR	EXACTMASS	FILENAME	FORMULA	FRAGMENTATION_METHOD	INCHI	INCHIAUX	INSTRUMENT_MODEL	INSTRUMENT_VENDOR	IONIZATION	IONMODE	LIBRARYQUALITY	MS2_EXPLAINED_INTENSITY	MSLEVEL	NAME	ORGANISM	PEPMASS	PI	PUBMED	SCANS	SEQ	SMILES	SOURCE_INSTRUMENT	SPECTRUMID	SPLASH	SUBMITUSER	TITLE	USI
71	111	aligned_features_filled.mgf	256.2644	32832	4017	GNPS-NIST14-MATCHES.mgf	256.2622	0.9012	8	0.0022			1		35.0	Data deposited by lfnothias		42cb359e331348fa9666dd638f3dbaba/P_fluo_BW11P2_Mix4_SampleD6.mzML		N/A	InChI=1S/C16H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H2,17,18)	HSEMFIZWXHQJAE-UHFFFAOYSA-N				Positive	3		2	Spectral Match to Palmitamide from NIST14 [M+H]+	GNPS-NIST14-MATCHES	256.262207	Data from Pieter Dorrestein	N/A	4017	*..*	CCCCCCCCCCCCCCCC(=O)N	ESI-qTof	CCMSLIB00003135927		mwang87	CCMSLIB00003135927	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003135927
76	125	aligned_features_filled.mgf	332.3320	33197	4900	GNPS-NIST14-MATCHES.mgf	332.3307	0.9170	6	0.0013			1		35.0	Data deposited by lfnothias		8dd9cf1525b140b3ad19c652621035e3/Contr_TSB__Mix2_SampleG4.mzML		N/A	InChI=1S/C23H42N/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23/h15-17,19-20H,4-14,18,21-22H2,1-3H3/q+1	WNBGYVXHFTYOBY-UHFFFAOYSA-N				Positive	3		2	Spectral Match to Benzyltetradecyldimethylammonium from NIST14 [M]+	GNPS-NIST14-MATCHES	332.330671	Data from Pieter Dorrestein	N/A	4900	*..*	CCCCCCCCCCCCCC[N+](C)(CC1=CC=CC=C1)C	LC-ESI-qTof	CCMSLIB00003136147		mwang87	CCMSLIB00003136147	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003136147
79	128	aligned_features_filled.mgf	786.6012	32515	8175	GNPS-NIST14-MATCHES.mgf	786.5970	0.9649	6	0.0042			1		30.0	Data deposited by daniel		dbb6e9a4b71d47e694de769b7a16bfd5/NIST_STD_001_b.mzXML		N/A	InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,42H,6-14,16,18-20,22,24-41H2,1-5H3/b17-15-,23-21-/t42-/m1/s1	FORFDCPQKJHEBF-VPUSDGANSA-N				Positive	3		2	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14 [M+H]+	GNPS-NIST14-MATCHES	786.596956	Data from Pieter Dorrestein	N/A	8175	*..*	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	ESI-qTof	CCMSLIB00003135444		mwang87	CCMSLIB00003135444	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003135444
83	134	aligned_features_filled.mgf	281.0511	32891	3114	GNPS-NIST14-MATCHES.mgf	281.0514	0.7849	6	-0.0003			1		N/A	Data deposited by marjo		ba311de896ac43dc9cc36bb3fade6642/s103-v312.mgf		N/A	N/A	N/A				Positive	3		2	Spectral Match to Cyclotetrasiloxane, octamethyl- from NIST14 [M+H-CH4]+	GNPS-NIST14-MATCHES	281.051383	Data from Maria Maansson	N/A	3114	*..*	N/A	ESI-QqQ	CCMSLIB00003136801		mwang87	CCMSLIB00003136801	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003136801
87	140	aligned_features_filled.mgf	372.2443	479297	2002	MSNLIB-POSITIVE.mgf	372.2430	0.8295	10	0.0013			1		N/A	Corinna Brungs		spectra_from_json.mgf		N/A	InChI=1S/C25H30N3/c1-26(2)22-13-7-19(8-14-22)25(20-9-15-23(16-10-20)27(3)4)21-11-17-24(18-12-21)28(5)6/h7-18H,1-6H3/q+1	LGLFFNDHMLKUMI-UHFFFAOYSA-N				Positive	1		2	Gentian violet cation [M]+	MSNLIB-POSITIVE	372.243	Tomas Pluskal	N/A	2002	*..*	CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1	ESI-Orbitrap	CCMSLIB00012276303		jzemlin	CCMSLIB00012276303	mzspec:GNPS:MSNLIB-POSITIVE:accession:CCMSLIB00012276303
97	151	aligned_features_filled.mgf	637.3075	804898	12077	BERKELEY-LAB.mgf	637.3020	0.8253	17	0.0055			1		N/A	JGI		3dacd5cf9c8d4c3d8596c71bf3234fbd/BERKELEY-LAB.mgf		N/A	InChI=1S/C23H46N6O13/c24-2-7-13(32)15(34)10(28)21(37-7)40-18-6(27)1-5(26)12(31)20(18)42-23-17(36)19(9(4-30)39-23)41-22-11(29)16(35)14(33)8(3-25)38-22/h5-23,30-36H,1-4,24-29H2/t5-,6+,7-,8+,9-,10-,11-,12+,13-,14-,15-,16-,17-,18-,19-,20-,21-,22?,23+/m1/s1	PGBHMTALBVVCIT-HDNPHQKMSA-N				Positive	3		2	AC1L1X1Z CollisionEnergy:102040 [M+Na]+	BERKELEY-LAB	637.302	Trent Northen	N/A	12077	*..*	NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O	LC-ESI-Orbitrap	CCMSLIB00010114511		mwang87	CCMSLIB00010114511	mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010114511
100	155	aligned_features_filled.mgf	288.2903	696373	659	MASSBANKEU.mgf	288.2530	0.7565	6	0.0373			1		N/A	Massbank		spectra_from_json.mgf		N/A	InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3	AOMUHOFOVNGZAN-UHFFFAOYSA-N				Positive	3		2	MassbankEU:SM876702 Lauryl diethanolamide|N,N-bis(2-hydroxyethyl)dodecanamide [M+H]+	MASSBANKEU	288.253	Massbank EU	N/A	659	*..*	CCCCCCCCCCCC(=O)N(CCO)CCO	ESI-LC-ESI-QFT	CCMSLIB00000842020		mwang87	CCMSLIB00000842020	mzspec:GNPS:MASSBANKEU:accession:CCMSLIB00000842020
101	156	aligned_features_filled.mgf	690.5074	747291	1403	GNPS-IOBA-NHC.mgf	690.5070	0.8879	12	0.0004			1		20.0	UMR CNRS 8038 Universite de Paris		d13a7832d41440df9a57092cfa9999a2/IOBA_control_20M_DDA_ESI+_1_308.mzXML		N/A	InChI=1S/C37H72NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(39)43-33-35(34-45-47(41,42)44-32-31-38)46-37(40)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h14,16,35H,3-13,15,17-34,38H2,1-2H3,(H,41,42)/b16-14-/t35-/m1/s1	CZOSTDZGCCEZTJ-WMHOIYFHSA-N				Positive	3		2	PE(16:0_16:1) - (2-aminoethoxy)[2-[hexadec-9-enoyloxy]-3-(hexadecanoyloxy)propoxy]phosphinic acid [M+H]+	GNPS-IOBA-NHC	690.507	N Auzeil	N/A	1403	*..*	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCC	LC-ESI-qTof	CCMSLIB00005724087		mpanitchpakdi	CCMSLIB00005724087	mzspec:GNPS:GNPS-IOBA-NHC:accession:CCMSLIB00005724087
103	158	aligned_features_filled.mgf	788.6174	31679	2380	GNPS-NIST14-MATCHES.mgf	788.6122	0.9375	6	0.0051			1		30.0	Data deposited by daniel		f86c70ab196842f5a7644656e26af83d/Plate1_C6.mzXML		N/A	N/A	N/A				Positive	3		2	Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14 [M+H]+	GNPS-NIST14-MATCHES	788.61222	Data from James McKerrow	N/A	2380	*..*	N/A	ESI-Q-TOF	CCMSLIB00003134596		mwang87	CCMSLIB00003134596	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003134596
104	160	aligned_features_filled.mgf	813.6851	32692	8438	GNPS-NIST14-MATCHES.mgf	813.6827	0.9688	6	0.0024			1		30.0	Data deposited by daniel		815429eafb604ae5a65a42cf0bcc01ac/NIST_STD_025_b.mzXML		N/A	N/A	N/A				Positive	3		2	Spectral Match to N-Tetracosenoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14 [M+H]+	GNPS-NIST14-MATCHES	813.682656	Data from Pieter Dorrestein	N/A	8438	*..*	N/A	ESI-Q-TOF	CCMSLIB00003135664		mwang87	CCMSLIB00003135664	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003135664
