filename	file_size_MB	spectrum_count	relative_path
UHM17-10841_MS1.mzML	12.19	1971	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM17-10841_MS1.mzML
Blank-withIS_1_MS1.mzML	23.36	4827	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/Blank-withIS_1_MS1.mzML
UHM41-22468_MS1.mzML	13.32	2100	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM41-22468_MS1.mzML
Blank_MeOH_MS1.mzML	29.47	5961	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/Blank_MeOH_MS1.mzML
UHM102-10855_MS1.mzML	12.51	1990	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM102-10855_MS1.mzML
BE1_MS1.mzML	19.25	3586	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/BE1_MS1.mzML
UHM45-10853_MS1.mzML	13.23	1561	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM45-10853_MS1.mzML
UHM22-22460_MS1.mzML	12.61	1725	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM22-22460_MS1.mzML
UHM145-22426_MS1.mzML	12.72	1663	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM145-22426_MS1.mzML
UHM45-22434_MS1.mzML	15.16	2561	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM45-22434_MS1.mzML
UHM31-10845_MS1.mzML	13.03	1842	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM31-10845_MS1.mzML
UHM40-22412_MS1.mzML	16.70	3056	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM40-22412_MS1.mzML
