feature_id,treatment_group,n_control,n_early,n_late,feature_max_normalized_abundance,control_detect_rate,control_median_normalized,early_detect_rate,early_median_normalized,late_detect_rate,late_median_normalized,fold_change_late_over_early,mannwhitney_pvalue,fdr_q,matches_pattern_uncorrected,passes_screen,mz,rt,parent_mass,adduct,is_isf,cosine,matched_peaks,library_name,library_spectrum_id
12362,STP1710.7 pilot,17,6,5,1.1053210083716491e-05,0.23529411764705882,0.0,0.16666666666666666,0.0,0.6,7.1318911717740565e-06,64.52325720544032,0.025255553764096526,0.22427260939520516,True,False,771.2756,6.975,,[M+H]1+,False,,,,
11499,STP1710.7 pilot,17,6,5,1.5056734995928763e-05,0.29411764705882354,0.0,0.0,0.0,1.0,9.392414962428074e-06,62.380157218465484,0.0025624469651488444,0.14854425817688874,True,False,608.2922,7.91,,[M+H]1+,False,,,,
11892,STP1710.7 pilot,17,6,5,1.8135869582301906e-05,0.29411764705882354,0.0,0.16666666666666666,0.0,0.8,1.0776173620517218e-05,59.41911730018873,0.0018418923564757273,0.14645046192264424,True,False,544.4117,17.217102,,[M+H]1+,False,,,,
8746,STP1710.7 pilot,17,6,5,2.2970027916469533e-05,0.11764705882352941,0.0,0.16666666666666666,0.0,0.8,1.3613238216393046e-05,59.26522277594769,0.002262220535580351,0.14854425817688874,True,False,1097.5205,6.859,1058.5656,[M+K]1+,False,,,,
11036,STP1710.7 pilot,17,6,5,1.5866143293397767e-05,0.23529411764705882,0.0,0.0,0.0,0.6,8.814555438359415e-06,55.55575337597849,0.016614441358369977,0.20948231713442014,True,False,379.3683,14.000174,,[M+H]1+,False,,,,
12343,STP1710.7 pilot,17,6,5,1.1488375835043912e-05,0.23529411764705882,0.0,0.16666666666666666,0.0,0.6,5.8289302765524945e-06,50.73763567842237,0.05710713319334634,0.2956244460326466,True,False,678.5502,19.181172,,[M+H]1+,False,,,,
10687,STP1710.7 pilot,17,6,5,1.8738010955595713e-05,0.29411764705882354,0.0,0.0,0.0,1.0,9.483274002344906e-06,50.60982206071837,0.0013105127573329687,0.13070062449364564,True,False,933.6043,11.828,,[M+H]1+,False,,,,
11408,STP1710.7 pilot,17,6,5,2.1046307224812967e-05,0.11764705882352941,0.0,0.16666666666666666,0.0,0.6,1.0546297294012925e-05,50.10996552202353,0.007690980315258589,0.17882000080470403,True,False,744.1935,27.412514,726.1597,[M+NH3+H]1+,False,,,,
12362,STP1717.1 pilot,17,7,5,1.1053210083716491e-05,0.23529411764705882,0.0,0.0,0.0,1.0,8.64873697851566e-06,78.24638193801198,0.00010933401132783959,0.1526545762606258,True,False,771.2756,6.975,,[M+H]1+,False,,,,
4506,STP1717.1 pilot,17,7,5,9.093892558292202e-06,0.0,0.0,0.0,0.0,0.8,5.8584354468890396e-06,64.42164792838976,2.401731511244201e-06,0.03018015817029463,True,True,1419.8656,17.858,,[M+H]1+,False,,,,
3345,STP1717.1 pilot,17,7,5,1.1068744394859031e-05,0.058823529411764705,0.0,0.0,0.0,0.8,7.109770545573902e-06,64.23285507321042,1.8829508328845192e-05,0.11099644340511759,True,False,1392.8453,17.858,,[M+H]1+,False,,,,
8945,STP1717.1 pilot,17,7,5,2.0774812968371073e-05,0.23529411764705882,0.0,0.14285714285714285,0.0,1.0,1.2543446940575319e-05,60.378146169942795,0.0001756975907111854,0.1892612203958209,True,False,129.0909,6.859,,[M+H]1+,False,,,,
3520,STP1717.1 pilot,17,7,5,1.2845249364669267e-05,0.23529411764705882,0.0,0.14285714285714285,0.0,0.8,7.056501982932014e-06,54.93472164379194,0.0030172021348650337,0.23949798303637415,True,False,1418.8621,17.858,,[M+H]1+,False,,,,
11360,STP1717.1 pilot,17,7,5,2.2346810104782375e-05,0.29411764705882354,0.0,0.0,0.0,0.8,1.226644269930238e-05,54.89124685709516,0.012127963199536051,0.2921972407205792,True,False,1240.7576,12.178,,[M+H]1+,False,,,,
7757,STP1717.1 pilot,17,7,5,3.478001657586436e-05,0.17647058823529413,0.0,0.0,0.0,0.6,1.813714625191296e-05,52.148181736345855,0.005111825085864915,0.2643423622591709,True,False,538.3623,14.394002,,[M+H]1+,False,,,,
11643,STP1717.1 pilot,17,7,5,2.159640498458763e-05,0.23529411764705882,0.0,0.0,0.0,0.8,1.1101350471590864e-05,51.40369649260324,0.0037384401601596403,0.24878103802856064,True,False,1119.7695,15.011,,[M+H]1+,False,,,,
9217,STP1717.1 pilot,17,7,5,8.034586283557704e-06,0.17647058823529413,0.0,0.14285714285714285,0.0,0.6,4.114186864453808e-06,51.2059578334885,0.03538464201362467,0.38497265068675984,True,False,272.246,18.21,,[M+H]1+,False,,,,
12106,STP1717.1 pilot,17,7,5,1.408196371295534e-05,0.17647058823529413,0.0,0.0,0.0,0.6,7.068268711895932e-06,50.19377166405533,0.008083728845561428,0.27858758089928,True,False,452.3131,13.537,,[M+H]1+,False,,,,
