axis,pct_variance
PCo1,38.11109663863274
PCo2,12.952688028351922
PCo3,10.304995015211977
PCo4,9.00958182171108
PCo5,5.448743320439417
PCo6,3.8994590361478743
PCo7,2.7171992862642242
PCo8,2.562621125101037
PCo9,1.9294429968119033
PCo10,1.6427138318585572
PCo11,1.4943103215614923
PCo12,1.1632109545091098
PCo13,0.8958350714364356
PCo14,0.8520493187317819
PCo15,0.7408345936633619
PCo16,0.6904438969391191
PCo17,0.5336326420049541
PCo18,0.5108010205343415
PCo19,0.47687174698617935
PCo20,0.46900295157724314
PCo21,0.4382444260505311
PCo22,0.3698668345959738
PCo23,0.35505120889889147
PCo24,0.3111367971316239
PCo25,0.29392406589726805
PCo26,0.2365539648301046
PCo27,0.22335386136588326
PCo28,0.21177056506492486
PCo29,0.18072380322973422
PCo30,0.168190618294536
PCo31,0.15265178089202813
PCo32,0.14604713678295894
PCo33,0.11121622287330682
PCo34,0.09287837916974931
PCo35,0.073323368443822
PCo36,0.07171006799603649
PCo37,0.051090497579658126
PCo38,0.043435958986109004
PCo39,0.038069201234712566
PCo40,0.016564827720572918
PCo41,0.008662794486822478
PCo42,0.0
PCo43,0.0
PCo44,0.0
PCo45,0.0
PCo46,0.0
PCo47,0.0
PCo48,0.0
PCo49,0.0
PCo50,0.0
PCo51,0.0
PCo52,0.0
PCo53,0.0
PCo54,0.0
PCo55,0.0
PCo56,0.0
PCo57,0.0
