filename,PCo1,PCo2,PCo3,PCo4,PCo5,sample_id,treatment_group,subject_id
UHM102-10855.mzML,-0.05492597097749342,-0.08774326362004344,0.13077635244383184,0.1363520118767767,-0.08620946161411157,UHM102-10855,STP1710.7 pilot,UHM102
UHM102-22450.mzML,0.03245912798238978,0.013949019248320068,0.06989653677139207,-0.015598835003443952,-0.014580741586246214,UHM102-22450,STP1710.7 pilot,UHM102
UHM102-22452.mzML,0.07809972113674603,-0.01305276604970519,-0.008256605321274148,0.05078308371933743,-0.07539050451998691,UHM102-22452,STP1710.7 pilot,UHM102
UHM102-22454.mzML,0.08021410593454219,-0.0394769983009516,-0.024679250302297374,-0.026133125485760987,-0.036569329859172675,UHM102-22454,STP1710.7 pilot,UHM102
UHM125-22428.mzML,0.01769846293210691,-0.01649150681611182,0.011116147358355567,-0.01506783094973471,0.019596333835152517,UHM125-22428,STP1717.1 pilot,UHM125
UHM125-22430.mzML,0.08113247377056518,0.0024738746650375208,-0.004568169002856412,-0.03058108459607208,0.05470554614934728,UHM125-22430,STP1717.1 pilot,UHM125
UHM125-22432.mzML,0.13890958674518925,-0.08432479800574265,-0.09021798762188497,-0.008560424889435394,0.06477758621822292,UHM125-22432,STP1717.1 pilot,UHM125
UHM145-22422.mzML,0.05682481628519085,0.06367480562586363,0.023380550189953938,-0.06611319436197499,0.020122838391179555,UHM145-22422,STP1717.1 pilot,UHM145
UHM145-22424.mzML,0.16208121060746591,-0.07859638461906075,-0.1306003540829208,-0.09467281143966752,-0.02909605409196375,UHM145-22424,STP1717.1 pilot,UHM145
UHM145-22426.mzML,0.07249097790034503,-0.018766599743558737,-0.08640099501311894,0.1457296029346882,-0.045973453160120706,UHM145-22426,STP1717.1 pilot,UHM145
UHM17-10841.mzML,-0.12013307028973658,-0.06451479200511209,-0.018613322893884687,0.058445397805037796,0.199531056708407,UHM17-10841,STP1710.7 pilot,UHM17
UHM17-22401.mzML,0.000767591598850574,-0.00460144546797056,0.03467463879286616,-0.00222875271034935,0.049045707427488594,UHM17-22401,STP1710.7 pilot,UHM17
UHM17-22403.mzML,0.08611750096026245,-0.027901266462444084,-0.09061478381361802,-0.0005483874741411683,-0.01922554916432864,UHM17-22403,STP1710.7 pilot,UHM17
UHM18-10842.mzML,-0.40888713025274737,0.1438089447401063,-0.3110825693360364,-0.04485068509306379,-0.06142435564124687,UHM18-10842,STP1717.1 pilot,UHM18
UHM18-22438.mzML,0.04277575254136163,0.07340981595788516,-0.0157494837172615,-0.03533347141384768,0.03292883899640141,UHM18-22438,STP1717.1 pilot,UHM18
UHM18-22440.mzML,0.019996823333623185,0.055935183291464026,-0.03578147132884768,0.004870061732489911,-0.002767808474286781,UHM18-22440,STP1717.1 pilot,UHM18
UHM20-10843.mzML,-0.1140991150807658,-0.11331109353655633,0.01057916354539051,-0.020843238561902,-0.011337885679322035,UHM20-10843,STP1710.7 pilot,UHM20
UHM20-22442.mzML,0.0007808491961193712,0.12213439297372591,0.05335121639215953,0.020167523892621015,0.04407621758090192,UHM20-22442,STP1710.7 pilot,UHM20
UHM20-22444.mzML,0.08142696504409529,0.08716477625747357,0.006274619867406544,-0.044200933099970426,0.05848302058509506,UHM20-22444,STP1710.7 pilot,UHM20
UHM22-22456.mzML,0.06561167498385724,-0.0033146723408555142,0.06336300984679417,-0.08469340231010436,0.0018451515819036986,UHM22-22456,control,UHM22
UHM22-22458.mzML,0.012913080759967315,0.034988777302568254,0.07840015987935368,-0.024865538235872613,-0.03733481264065762,UHM22-22458,control,UHM22
UHM22-22460.mzML,0.07899875222629704,-0.03610560660850249,-0.01984711814282361,-0.035790385097391575,-0.03906118843816883,UHM22-22460,control,UHM22
UHM27-10844.mzML,-0.1291954041895725,-0.0606435686822807,0.07819050282539632,-0.021568792218257474,-0.009653313906083896,UHM27-10844,control,UHM27
UHM31-10845.mzML,-0.046014701570864125,-0.1406134658402394,0.022175212628064652,-0.011836939029625527,0.003212825673072215,UHM31-10845,STP1717.1 pilot,UHM31
UHM31-22462.mzML,0.027011885680364705,0.1002061993433883,0.0055335621693781015,0.011368583584407661,0.07331639517502941,UHM31-22462,STP1717.1 pilot,UHM31
UHM31-22464.mzML,0.115559564166289,-0.0209811985229275,-0.10122711558007727,0.23972799568076167,-0.01248508770644024,UHM31-22464,STP1717.1 pilot,UHM31
UHM33-10846.mzML,-0.12096668021946243,-0.07113946627992813,0.08331035685148815,0.018080630852306694,0.013935066795051403,UHM33-10846,STP1717.1 pilot,UHM33
UHM36-10847.mzML,-0.09433906852638767,-0.10284094348506265,0.002156796877250397,-0.03025341791578468,-0.012521400712762653,UHM36-10847,control,UHM36
UHM36-22406.mzML,0.004286731491449889,0.04868772531120844,0.09762557923217055,-0.027847337053286594,-0.029261143018413708,UHM36-22406,control,UHM36
UHM36-22408.mzML,0.02473934233182967,0.034345498321267126,0.10845668927013796,-0.03535195505294907,-0.048047033115249445,UHM36-22408,control,UHM36
UHM38-10848.mzML,-0.13800770187460823,-0.024168091938251646,-0.02045890522684581,-0.011292595869705784,0.0051090691592514245,UHM38-10848,control,UHM38
UHM38-22418.mzML,-0.019563988802398655,0.12784444687331092,-0.008246040729413283,-0.015457944274038009,0.023576001992958985,UHM38-22418,control,UHM38
UHM38-22420.mzML,0.08040521556146557,-0.0293059712519384,-0.04644043012597891,-0.055106493564474106,-0.014032659942244256,UHM38-22420,control,UHM38
UHM40-10849.mzML,-0.16126601614391803,0.01932102716648018,-0.003838001252369865,0.03404429707594006,0.03158254820295641,UHM40-10849,STP1717.1 pilot,UHM40
UHM40-22410.mzML,0.01860985710485032,0.04079707773242337,0.07157859584021431,-0.013062336159672472,-0.022250170214264474,UHM40-22410,STP1717.1 pilot,UHM40
UHM40-22412.mzML,0.010380544128385119,0.09496672705296333,0.04877159992893899,-0.013070179108674591,0.0034086228601707567,UHM40-22412,STP1717.1 pilot,UHM40
UHM41-10850.mzML,-0.10879537467864869,-0.018460298430627187,0.11906619987371002,-0.023260936547505377,-0.060137040729027015,UHM41-10850,STP1710.7 pilot,UHM41
UHM41-22466.mzML,0.017636741937386607,0.14314639089712095,0.0430744287108983,0.020718711016623283,0.04441190433347332,UHM41-22466,STP1710.7 pilot,UHM41
UHM41-22468.mzML,0.01289668758298138,0.11547595789971955,-0.03571484313400655,0.005009738043127188,-0.0054406398807144,UHM41-22468,STP1710.7 pilot,UHM41
UHM43-10851.mzML,-0.04327789982048053,-0.2009179938588492,-0.012882107689317709,0.007287825218222647,0.03531687596196853,UHM43-10851,control,UHM43
UHM44-10852.mzML,-0.13348038728323552,-0.024972212497983932,0.029040082021830622,0.011653281213566638,0.008443912948391249,UHM44-10852,STP1717.1 pilot,UHM44
UHM45-10853.mzML,-0.025570516533803055,-0.15266304045134169,-0.04987051075110915,-0.033816785643044064,-0.061883229225687834,UHM45-10853,STP1710.7 pilot,UHM45
UHM45-22434.mzML,-0.005862783548998754,0.15629322212571597,-0.012282106844769982,0.04169474248556414,-0.002096602438588883,UHM45-22434,STP1710.7 pilot,UHM45
UHM45-22436.mzML,0.0707975845390974,-0.013221678045471195,-0.05284639542952202,-0.03511398896426402,-0.04223784883548452,UHM45-22436,STP1710.7 pilot,UHM45
UHM56-10854.mzML,-0.07720133614503125,-0.15099088048468498,0.07235072043063447,0.021853592033280324,0.052360156881242445,UHM56-10854,control,UHM56
UHM56-22414.mzML,0.025294763419789344,0.09416985950842513,0.03739007811527973,0.08535485573506289,0.023865609480595074,UHM56-22414,control,UHM56
UHM56-22416.mzML,0.16215829509719137,-0.11500444182227935,-0.15319771547709404,-0.03489379130916471,0.05408052140833874,UHM56-22416,control,UHM56
UHM72-22446.mzML,0.01766558917125764,0.031024053408109195,0.07055955904091717,-0.0426223069933712,-0.030885596118681524,UHM72-22446,control,UHM72
UHM72-22448.mzML,0.043892267092103865,0.054445807003172954,-0.010209593350059182,-0.01563242898433428,-0.04031780229242656,UHM72-22448,control,UHM72
UHM72-22470.mzML,0.060952602694735125,0.05586086246273093,-0.027466482736426205,0.05712839451107047,-0.06751109534091837,UHM72-22470,control,UHM72
